USER     PID   PPID  VSIZE  RSS     WCHAN    PC         NAME
root      1     0     372    216   c01217a8 000086e8 S /init
root      2     0     0      0     c0070948 00000000 S kthreadd
root      3     2     0      0     c0055e78 00000000 S ksoftirqd/0
root      4     2     0      0     c0069358 00000000 S kworker/0:0
root      5     2     0      0     c0069358 00000000 S kworker/u:0
root      6     2     0      0     c0097940 00000000 S migration/0
root      7     2     0      0     c0097940 00000000 S migration/1
root      8     2     0      0     c0069358 00000000 S kworker/1:0
root      9     2     0      0     c0055e78 00000000 S ksoftirqd/1
root      10    2     0      0     c006b168 00000000 S khelper
root      11    2     0      0     c04241cc 00000000 S kdevtmpfs
root      12    2     0      0     c006b168 00000000 S netns
root      16    2     0      0     c006b168 00000000 S suspend
root      65    2     0      0     c00993a8 00000000 S irq/104-serial 
root      67    2     0      0     c00993a8 00000000 S irq/105-serial 
root      69    2     0      0     c00993a8 00000000 S irq/106-serial 
root      326   2     0      0     c00e9e0c 00000000 S sync_supers
root      328   2     0      0     c00eafb4 00000000 S bdi-default
root      330   2     0      0     c006b168 00000000 S kblockd
root      346   2     0      0     c006b168 00000000 S omap2_mcspi
root      360   2     0      0     c0470f34 00000000 S khubd
root      374   2     0      0     c04395dc 00000000 S twl6030-irq
root      379   2     0      0     c00993a8 00000000 S irq/372-twl6030
root      380   2     0      0     c00993a8 00000000 S irq/378-twl6030
root      424   2     0      0     c006b168 00000000 S cfg80211
root      514   2     0      0     c006b168 00000000 S rpciod
root      522   2     0      0     c00e23ec 00000000 S kswapd0
root      524   2     0      0     c014ef90 00000000 S fsnotify_mark
root      525   2     0      0     c021f85c 00000000 S ecryptfs-kthrea
root      527   2     0      0     c006b168 00000000 S nfsiod
root      529   2     0      0     c006b168 00000000 S crypto
root      558   2     0      0     c006b168 00000000 S dsscomp_apply
root      559   2     0      0     c006b168 00000000 S dsscomp_apply
root      560   2     0      0     c006b168 00000000 S dsscomp_apply
root      561   2     0      0     c006b168 00000000 S dsscomp_cb
root      573   2     0      0     c006b168 00000000 S pvr_timer
root      628   2     0      0     c00993a8 00000000 S irq/158-TAlert
root      629   2     0      0     c00993a8 00000000 S irq/246-tshut
root      632   2     0      0     c00993a8 00000000 S irq/151-twl6040
root      683   2     0      0     c006b168 00000000 S f_mtp
root      688   2     0      0     c04adec4 00000000 S file-storage
root      703   2     0      0     c006b168 00000000 S kpsmoused
root      705   2     0      0     c006b168 00000000 S 2-0038
root      709   2     0      0     c00993a8 00000000 S irq/199-ads7846
root      714   2     0      0     c00993a8 00000000 S irq/316-4-0053
root      737   2     0      0     c00993a8 00000000 S irq/379-rtc0
root      765   2     0      0     c0069358 00000000 S kworker/u:2
root      775   2     0      0     c006b168 00000000 S binder
root      798   2     0      0     c00993a8 00000000 S irq/131-ABE
root      799   2     0      0     c0069358 00000000 S kworker/u:3
root      801   2     0      0     c0069358 00000000 S kworker/u:5
root      803   2     0      0     c0531344 00000000 S mmcqd/0
root      875   2     0      0     c0069358 00000000 S kworker/1:2
root      879   2     0      0     c0069358 00000000 S kworker/0:3
root      1629  2     0      0     c00993a8 00000000 S irq/196-pandabo
root      1630  2     0      0     c00993a8 00000000 S irq/192-pandabo
root      1631  2     0      0     c00993a8 00000000 S irq/198-pandabo
root      1632  2     0      0     c00993a8 00000000 S irq/193-pandabo
root      1633  2     0      0     c00993a8 00000000 S irq/197-pandabo
root      1645  1     344    180   c01217a8 000086e8 S /sbin/ueventd
root      2071  2     0      0     c01fce9c 00000000 S jbd2/mmcblk0p2-
root      2072  2     0      0     c006b168 00000000 S ext4-dio-unwrit
root      2073  2     0      0     c01fce9c 00000000 S jbd2/mmcblk0p3-
root      2074  2     0      0     c006b168 00000000 S ext4-dio-unwrit
root      2075  2     0      0     c01fce9c 00000000 S jbd2/mmcblk0p5-
