     Time                caller                       callee          
 318.160675      inaro.wallpaper-2281     => surfaceflinger           
 318.171417      inaro.wallpaper-2281     => surfaceflinger           
 318.186920      inaro.wallpaper-2281     => surfaceflinger           
 318.197327      inaro.wallpaper-2281     => surfaceflinger           
 318.213104      inaro.wallpaper-2281     => surfaceflinger           
 318.223450      inaro.wallpaper-2281     => surfaceflinger           
 318.242737      inaro.wallpaper-2281     => surfaceflinger           
 318.253143      inaro.wallpaper-2281     => surfaceflinger           
 318.272186      inaro.wallpaper-2281     => surfaceflinger           
 318.282776      inaro.wallpaper-2281     => surfaceflinger           
 318.298492      inaro.wallpaper-2281     => surfaceflinger           
 318.308899      inaro.wallpaper-2281     => surfaceflinger           
 318.327972      inaro.wallpaper-2281     => surfaceflinger           
 318.338501      inaro.wallpaper-2281     => surfaceflinger           
 318.354218      inaro.wallpaper-2281     => surfaceflinger           
 318.364899      inaro.wallpaper-2281     => surfaceflinger           
 318.378174      inaro.wallpaper-2281     => surfaceflinger           
 318.388550      inaro.wallpaper-2281     => surfaceflinger           
 318.400238      inaro.wallpaper-2281     => surfaceflinger           
 318.410645      inaro.wallpaper-2281     => surfaceflinger           
 318.429840      inaro.wallpaper-2281     => surfaceflinger           
 318.440247      inaro.wallpaper-2281     => surfaceflinger           
 318.454437      inaro.wallpaper-2281     => surfaceflinger           
 318.464813      inaro.wallpaper-2281     => surfaceflinger           
 318.483887      inaro.wallpaper-2281     => surfaceflinger           
 318.494324      inaro.wallpaper-2281     => surfaceflinger           
 318.510040      inaro.wallpaper-2281     => surfaceflinger           
 318.520782      inaro.wallpaper-2281     => surfaceflinger           
 318.536835      inaro.wallpaper-2281     => surfaceflinger           
 318.547638      inaro.wallpaper-2281     => surfaceflinger           
 318.563293      inaro.wallpaper-2281     => surfaceflinger           
 318.573669      inaro.wallpaper-2281     => surfaceflinger           
 318.592773      inaro.wallpaper-2281     => surfaceflinger           
 318.603241      inaro.wallpaper-2281     => surfaceflinger           
 319.680573      inaro.wallpaper-2281     => surfaceflinger           
 319.690338      inaro.wallpaper-2281     => surfaceflinger           
 319.709106      inaro.wallpaper-2281     => surfaceflinger           
 319.718872      inaro.wallpaper-2281     => surfaceflinger           
 319.734741      inaro.wallpaper-2281     => surfaceflinger           
 319.744476      inaro.wallpaper-2281     => surfaceflinger           
 319.760223      inaro.wallpaper-2281     => surfaceflinger           
 319.769989      inaro.wallpaper-2281     => surfaceflinger           
 319.785828      inaro.wallpaper-2281     => surfaceflinger           
 319.795654      inaro.wallpaper-2281     => surfaceflinger           
 319.811249      inaro.wallpaper-2281     => surfaceflinger           
 319.821198      inaro.wallpaper-2281     => surfaceflinger           
 319.834961      inaro.wallpaper-2281     => surfaceflinger           
 319.845093      inaro.wallpaper-2281     => surfaceflinger           
 319.860687      inaro.wallpaper-2281     => surfaceflinger           
 319.870636      inaro.wallpaper-2281     => surfaceflinger           
 319.889679      inaro.wallpaper-2281     => surfaceflinger           
 319.899689      inaro.wallpaper-2281     => surfaceflinger           
 319.915405      inaro.wallpaper-2281     => surfaceflinger           
 319.925507      inaro.wallpaper-2281     => surfaceflinger           
 319.944550      inaro.wallpaper-2281     => surfaceflinger           
 319.954712      inaro.wallpaper-2281     => surfaceflinger           
 319.968933      inaro.wallpaper-2281     => surfaceflinger           
 319.979248      inaro.wallpaper-2281     => surfaceflinger           
 319.995758      inaro.wallpaper-2281     => surfaceflinger           
 320.005859      inaro.wallpaper-2281     => surfaceflinger           
 320.021606      inaro.wallpaper-2281     => surfaceflinger           
 320.031891      inaro.wallpaper-2281     => surfaceflinger           
 320.047638      inaro.wallpaper-2281     => surfaceflinger           
 320.057678      inaro.wallpaper-2281     => surfaceflinger           
 320.074097      inaro.wallpaper-2281     => surfaceflinger           
 320.084320      inaro.wallpaper-2281     => surfaceflinger           
 320.100037      inaro.wallpaper-2281     => surfaceflinger           
 320.110260      inaro.wallpaper-2281     => surfaceflinger           
 320.126038      inaro.wallpaper-2281     => surfaceflinger           
 320.136292      inaro.wallpaper-2281     => surfaceflinger           
 320.155670      inaro.wallpaper-2281     => surfaceflinger           
 320.166077      inaro.wallpaper-2281     => surfaceflinger           
 320.181763      inaro.wallpaper-2281     => surfaceflinger           
 320.192047      inaro.wallpaper-2281     => surfaceflinger           
 320.211212      inaro.wallpaper-2281     => surfaceflinger           
 320.221527      inaro.wallpaper-2281     => surfaceflinger           
 320.237915      inaro.wallpaper-2281     => surfaceflinger           
 320.248383      inaro.wallpaper-2281     => surfaceflinger           
 320.264069      inaro.wallpaper-2281     => surfaceflinger           
 320.274536      inaro.wallpaper-2281     => surfaceflinger           
 320.290253      inaro.wallpaper-2281     => surfaceflinger           
 320.300659      inaro.wallpaper-2281     => surfaceflinger           
 320.319702      inaro.wallpaper-2281     => surfaceflinger           
 320.330078      inaro.wallpaper-2281     => surfaceflinger           
 320.344635      inaro.wallpaper-2281     => surfaceflinger           
 320.355042      inaro.wallpaper-2281     => surfaceflinger           
 320.374084      inaro.wallpaper-2281     => surfaceflinger           
 320.384583      inaro.wallpaper-2281     => surfaceflinger           
