     type                caller                       callee          
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
call            org.linaro.wallpaper      => surfaceflinger           
reply           surfaceflinger            => org.linaro.wallpaper     
